+----------------+---------+---------+-------+---------+---------+--------+---------+---------+
| dátum          | dem     | new_dem | nd/n  | rep     | new_rep | nr/n   | registr | new     |
| 2020_10_03     | 2574523 |   10107 |   28% | 2171498 |   12033 |    33% | 7200188 |   35800 |
| 2020_10_10     | 2585688 |   11165 |   26% | 2185854 |   14356 |    34% | 7242242 |   42054 |
| 2020_10_17     | 2599432 |   13744 |   29% | 2200218 |   14364 |    31% | 7288232 |   45990 |
| 2020_10_24     | 2607337 |    7905 |   37% | 2208384 |    8166 |    38% | 7309385 |   21153 |
| 2020_10_31     | 2617358 |   10021 |   30% | 2223516 |   15132 |    45% | 7342553 |   33168 |
| 2020_11_07     | 2624050 |    6692 |   30% | 2233007 |    9491 |    43% | 7364507 |   21954 |
+----------------+---------+---------+-------+---------+---------+--------+---------+---------+
| 2024_01        | 2419118 | -204932 | -220% | 2238354 |    5347 |     5% | 7457281 |   92774 |
| 2024_02        | 2412438 |   -6680 | -186% | 2239797 |    1443 |    40% | 7460871 |    3590 |
| 2024_03        | 2408782 |   -3656 |   43% | 2237747 |   -2050 |    24% | 7452458 |   -8413 |
| 2024_04        | 2405426 |   -3356 |   38% | 2234896 |   -2851 |    33% | 7443842 |   -8616 |
| 2024_05        | 2403018 |   -2408 |  301% | 2234545 |    -351 |    43% | 7443042 |    -800 |
| 2024_06        | 2402776 |    -242 |    0% | 2260832 |   26287 |    24% | 7548954 |  105912 |
| 2024_07_27     | 2400882 |   -1894 |   -7% | 2266564 |    5732 |    23% | 7573541 |   24587 |
| 2024_08_07     | 2401563 |     681 |    7% | 2268008 |    1444 |    15% | 7582826 |    9285 |
| 2024_08_10     | 2402172 |     609 |    8% | 2269714 |    1706 |    22% | 7590303 |    7477 |
| 2024_08_17     | 2403027 |     855 |    9% | 2271449 |    1735 |    20% | 7598867 |    8564 |
| 2024_08_24     | 2403624 |     597 |    8% | 2273495 |    2046 |    28% | 7606095 |    7228 |
+----------------+---------+---------+-------+---------+---------+--------+---------+---------+
